Designator,Mid X,Mid Y,Rotation,Layer
C1,150.1,-78.1,0.0,top
C10,131.22,-76.95,180.0,top
C11,131.2,-80.8,180.0,top
C12,131.2,-81.9,180.0,top
C13,140.13,-87.7,270.0,top
C14,129.72,-80.15,270.0,top
C15,129.72,-78.25,90.0,top
C16,146.3,-84.6,0.0,top
C17,146.9,-82.55,270.0,top
C18,139.8,-71.38,90.0,top
C19,145.9,-82.55,270.0,top
C2,144.5,-87.7,270.0,top
C20,127.6,-121.0375,0.0,top
C21,130.35,-101.5125,180.0,top
C22,130.35,-99.4125,180.0,top
C23,119.325,-93.045,90.0,top
C24,124.925,-88.145,180.0,top
C25,154.62,-67.8,180.0,top
C26,154.62,-68.8,180.0,top
C27,149.53675,-68.452382,270.0,top
C28,150.53675,-68.452382,270.0,top
C29,143.6,-71.4,90.0,top
C3,143.1265,-87.7,270.0,top
C30,115.65,-84.7,0.0,top
C31,101.35,-71.4,90.0,top
C32,130.8,-50.69,270.0,top
C33,108.999,-58.525,0.0,top
C34,112.999,-61.325,90.0,top
C35,112.999,-59.425,270.0,top
C36,108.999,-64.125,0.0,top
C37,164.335,-60.075,180.0,top
C38,108.999,-63.125,0.0,top
C39,164.35,-59.05,180.0,top
C4,138.95,-87.7,270.0,top
C40,164.35,-57.98,180.0,top
C41,160.155,-62.745,0.0,top
C42,160.155,-63.745,0.0,top
C43,128.74,-50.69,270.0,top
C44,98.7,-45.8,270.0,top
C45,175.05,-43.8,270.0,top
C46,95.25,-91.9,270.0,top
C47,178.4,-97.5,180.0,top
C48,150.25,-105.65,0.0,top
C5,135.5265,-87.7,270.0,top
C6,131.22,-78.05,180.0,top
C7,145.55,-72.35,90.0,top
C8,141.5265,-71.4,90.0,top
C9,136.4,-70.6,180.0,top
D1,182.4,-98.9875,90.0,top
D10,132.15,-93.5625,0.0,top
D11,132.1375,-91.25,0.0,top
D12,148.2,-101.2,90.0,top
D13,151.162305,-101.2,90.0,top
D14,154.124609,-101.2,90.0,top
D15,157.086914,-101.2,90.0,top
D16,160.049218,-101.2,90.0,top
D2,182.5,-106.2,90.0,top
D3,171.7,-45.95,270.0,top
D4,102.95,-45.9,0.0,top
D5,91.8,-93.1,270.0,top
D6,180.6,-93.1,90.0,top
FB3,104.099,-59.85,180.0,top
FB4,104.099,-61.85,180.0,top
FB5,169.355,-63.345,0.0,top
FB6,169.355,-61.345,0.0,top
J1,181.4,-83.94,0.0,top
J10,108.75,-78.55,270.0,top
J11,94.6,-71.66,180.0,top
J12,90.9,-71.66,180.0,top
J13,139.9,-49.45,180.0,top
J14,136.805,-120.8,270.0,top
J15,175.1,-81.9,0.0,top
J2,180.8,-113.5,90.0,top
J3,90.95,-56.53,180.0,bottom
J4,181.275,-65.12,0.0,bottom
J5,136.8,-124.8,0.0,top
J6,144.705,-121.8,270.0,top
J7,95.8,-112.0,180.0,top
J8,153.7,-130.7,90.0,top
J9,164.07,-130.7,90.0,top
L1,147.5,-83.7375,270.0,top
L2,140.1,-107.95,0.0,top
Q1,130.0875,-125.6375,90.0,top
Q2,130.0875,-129.475,270.0,top
Q3,119.2625,-87.45,90.0,top
R1,151.1,-79.6,0.0,top
R10,147.0,-68.4,0.0,top
R11,127.1875,-122.5375,0.0,top
R12,128.0,-119.5375,180.0,top
R13,139.1,-109.666667,0.0,top
R14,139.1,-111.6,0.0,top
R15,128.0,-114.2,180.0,top
R16,128.0,-108.1,180.0,top
R17,128.0,-110.1,180.0,top
R18,128.0,-116.2,180.0,top
R19,128.0,-112.1,180.0,top
R2,151.1,-81.1,180.0,top
R20,141.2,-117.9,270.0,top
R21,152.79,-112.5,0.0,top
R22,152.79,-111.5,0.0,top
R23,133.0,-98.425,270.0,top
R24,134.95,-95.85,90.0,top
R25,105.168304,-117.286488,180.0,top
R26,105.168304,-116.262202,180.0,top
R27,132.15,-95.3625,180.0,top
R28,105.168304,-115.237917,180.0,top
R29,105.168304,-114.213631,180.0,top
R3,131.22,-79.7,0.0,top
R30,105.168304,-113.189345,180.0,top
R31,105.168304,-112.165059,180.0,top
R32,105.168304,-111.140774,180.0,top
R33,105.168304,-110.116488,180.0,top
R35,102.8,-106.6,90.0,top
R36,149.7,-126.39,90.0,top
R37,151.69,-126.39,90.0,top
R38,153.68,-126.39,90.0,top
R39,155.67,-126.39,90.0,top
R4,146.3,-85.6,180.0,top
R40,157.66,-126.39,90.0,top
R43,137.0,-95.8625,90.0,top
R44,115.45,-89.65,0.0,top
R45,115.45,-88.1,0.0,top
R46,115.45,-86.55,0.0,top
R47,115.5,-49.0,270.0,top
R48,120.0,-49.0,270.0,top
R49,132.2975,-89.43,0.0,top
R5,180.1,-119.6,0.0,top
R50,148.2,-97.6875,90.0,top
R51,151.15,-97.6875,90.0,top
R52,154.1,-97.6875,90.0,top
R53,157.05,-97.6875,90.0,top
R54,160.0,-97.6875,90.0,top
R55,160.55,-107.9,180.0,top
R56,160.55,-108.95,0.0,top
R57,150.25,-106.7,0.0,top
R58,150.25,-107.75,0.0,top
R59,153.3,-118.35,0.0,top
R6,180.1,-107.4,0.0,top
R60,153.3,-117.31,0.0,top
R7,125.7,-70.9,180.0,top
R9,125.7,-75.0,0.0,top
RV1,163.04,-45.8,0.0,top
SW1,121.0,-72.1,0.0,top
SW2,180.7675,-56.755,270.0,top
SW3,121.0,-76.047771,0.0,top
SW7,180.8,-73.7,90.0,top
SW8,115.95,-44.45,180.0,top
U1,139.3265,-79.55,270.0,top
U10,109.199,-60.825,90.0,top
U11,164.335,-62.375,270.0,top
U2,127.1875,-124.9375,90.0,top
U3,134.3,-113.9625,90.0,top
U4,125.025,-93.025,180.0,top
U5,151.5,-72.35,270.0,top
U6,148.2,-63.2,180.0,top
U7,155.5,-106.4,270.0,top
U8,136.1,-99.45,0.0,top
Y1,127.47,-78.95,90.0,top
